Ordem de Risco;Temperamento;Música do Skillet;URL da Música
01;RSA;The Resistance;https://www.letras.mus.br/skillet/the-resistance/
02;ISR;Monster;https://www.letras.mus.br/skillet/1507720/
03;JUD;Hero;https://www.letras.mus.br/skillet/1507722/
04;NOE;Awake and Alive;https://www.letras.mus.br/skillet/1507721/
05;PMA;Feel Invincible;https://www.letras.mus.br/skillet/feel-invincible/
06;RRO;Not Gonna Die;https://www.letras.mus.br/skillet/not-gonna-die/
07;PJN;Back From the Dead;https://www.letras.mus.br/skillet/back-from-the-dead/
08;RES;Rise;https://www.letras.mus.br/skillet/rise/
09;ABE;Stars;https://www.letras.mus.br/skillet/stars/
10;SAR;Anchor;https://www.letras.mus.br/skillet/anchor/
11;LEV;Comatose;https://www.letras.mus.br/skillet/479421/
12;CAL;Sick of It;https://www.letras.mus.br/skillet/sick-of-it/
13;MOI;Legendary;https://www.letras.mus.br/skillet/legendary/
14;ABR;Unbreakable;https://www.letras.mus.br/skillet/unbreakable/
15;RDA;Lions;https://www.letras.mus.br/skillet/lions/
16;RME;Terrifying;https://www.letras.mus.br/skillet/terrifying/
17;JOS;Lucy;https://www.letras.mus.br/skillet/lucy/
18;ADA;The Last Night;https://www.letras.mus.br/skillet/479427/
19;PNN;Valley of Death;https://www.letras.mus.br/skillet/valley-of-death/
20;PJO;Finish Line;https://www.letras.mus.br/skillet/finish-line/
21;ELE;Brave;https://www.letras.mus.br/skillet/brave/
22;BET;Victorious;https://www.letras.mus.br/skillet/victorious/
23;RAM;Undefeated;https://www.letras.mus.br/skillet/undefeated/
24;SEM;Fire and Fury;https://www.letras.mus.br/skillet/fire-and-fury/
25;RUT;Watching for Comets;https://www.letras.mus.br/skillet/watching-for-comets/
26;ZAD;Save Me;https://www.letras.mus.br/skillet/save-me/
27;LAB;Burn it Down;https://www.letras.mus.br/skillet/burn-it-down/
28;JSE;Never Surrender;https://www.letras.mus.br/skillet/never-surrender/
29;SNS;Whispers in the Dark;https://www.letras.mus.br/skillet/479428/
30;ERS;Rebirthing;https://www.letras.mus.br/skillet/479425/
31;FAR;Beyond Incredible;https://www.letras.mus.br/skillet/beyond-incredible/
32;EVA;Dreaming of Eden;https://www.letras.mus.br/skillet/dreaming-of-eden/
