Horario;ISR;PJN;RES;ADA;SEM;RSA;JOS;RAM;NOE;JUD;LEV;MOI;CAL;ABR;RDA;RME;PMA;RRO;ELE;BET;FAR;EVA;RUT;ZAD;LAB;JSE;SNS;ERS;PNN;PJO;ABE;SAR
00:00-02:00;0.95;0.85;0.90;0.88;0.86;0.75;0.72;0.70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02:00-04:00;0.97;0.78;0.82;0.92;0;0.80;0;0;0.90;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04:00-06:00;0.75;0.68;0.72;0;0;0.70;0;0;0.78;0.74;0.82;0.80;0.70;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06:00-09:00;0;0;0;0;0;0;0;0;0;0;0.92;0.90;0.85;0.84;0.88;0.82;0.89;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09:00-12:00;0;0;0;0;0;0;0;0;0.86;0.88;0.90;0.93;0.85;0.88;0;0;0.92;0.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12:00-14:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.90;0.85;0;0;0.88;0.84;0.86;0.82;0;0;0;0;0;0;0;0;0;0
14:00-17:00;0;0;0;0.86;0.88;0;0.82;0.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.80;0.84;0.78;0.80;0;0;0;0;0;0
17:00-20:00;0;0.88;0.90;0;0.91;0;0;0.89;0;0;0;0;0;0;0;0;0;0;0;0;0.92;0.88;0;0;0;0;0.90;0.85;0;0;0;0
20:00-22:00;0;0;0;0;0.92;0;0;0.91;0;0;0;0;0;0;0.88;0.85;0;0;0.89;0.87;0.93;0.90;0;0;0;0;0;0;0;0;0;0
22:00-00:00;0.90;0;0;0.92;0;0.86;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.82;0.86;0;0;0;0;0.84;0.88;0;0
